Sample in Buffer,Sample in Window,TRIGGER,design_1_i/NV_nvdla_wrapper_0_dla_intr,design_1_i/tdc_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,OCTAL
802,802,0,0,00000000171
803,803,0,0,00000000173
804,804,0,0,00000000205
805,805,0,0,00000000152
806,806,0,0,00000000151
807,807,0,0,00000000153
808,808,0,0,00000000161
809,809,0,0,00000000171
810,810,0,0,00000000177
811,811,0,0,00000000203
812,812,0,0,00000000152
813,813,0,0,00000000153
814,814,0,0,00000000153
815,815,0,0,00000000174
816,816,0,0,00000000173
817,817,0,0,00000000176
818,818,0,0,00000000203
819,819,0,0,00000000153
820,820,0,0,00000000152
821,821,0,0,00000000155
822,822,0,0,00000000200
823,823,0,0,00000000166
824,824,0,0,00000000176
825,825,0,0,00000000206
826,826,0,0,00000000152
827,827,0,0,00000000154
828,828,0,0,00000000155
829,829,0,0,00000000172
830,830,0,0,00000000176
831,831,0,0,00000000173
832,832,0,0,00000000207
833,833,0,0,00000000144
834,834,0,0,00000000152
835,835,0,0,00000000155
836,836,0,0,00000000172
837,837,0,0,00000000174
838,838,0,0,00000000177
839,839,0,0,00000000211
840,840,0,0,00000000153
841,841,0,0,00000000151
842,842,0,0,00000000154
843,843,0,0,00000000176
844,844,0,0,00000000177
845,845,0,0,00000000174
846,846,0,0,00000000207
847,847,0,0,00000000153
848,848,0,0,00000000153
849,849,0,0,00000000153
850,850,0,0,00000000172
851,851,0,0,00000000175
852,852,0,0,00000000177
853,853,0,0,00000000204
854,854,0,0,00000000150
855,855,0,0,00000000152
856,856,0,0,00000000157
857,857,0,0,00000000170
858,858,0,0,00000000177
859,859,0,0,00000000200
860,860,0,0,00000000215
861,861,0,0,00000000161
862,862,0,0,00000000152
863,863,0,0,00000000166
864,864,0,0,00000000201
865,865,0,0,00000000175
866,866,0,0,00000000200
867,867,0,0,00000000211
868,868,0,0,00000000152
869,869,0,0,00000000160
870,870,0,0,00000000157
871,871,0,0,00000000173
872,872,0,0,00000000175
873,873,0,0,00000000211
874,874,0,0,00000000204
875,875,0,0,00000000153
876,876,0,0,00000000161
877,877,0,0,00000000163
878,878,0,0,00000000174
879,879,0,0,00000000203
880,880,0,0,00000000205
881,881,0,0,00000000215
882,882,0,0,00000000160
883,883,0,0,00000000157
884,884,0,0,00000000162
885,885,0,0,00000000203
886,886,0,0,00000000174
887,887,0,0,00000000204
888,888,0,0,00000000205
889,889,0,0,00000000152
890,890,0,0,00000000161
891,891,0,0,00000000152
